participant_id,prolific_pid,final_feedback,survived_exclusion
26drsutp,6979f7df3438942e2dd5141e,It was enjoyable and fun.,no
2w5wn66x,69cd0c41e0ce4efb4d3975c5,The hierarchy of the cards was extremely confusing. Maybe I was misremembering the combos I was trying but the hierarchy felt even more random than it was suggested.,yes
35hzaej0,6658cd81e4e49937196d341c,I loved it,no
3ey8b6of,6a13609ea98420f68a5b7f0c,no,yes
4e5jg8pn,6a2340ea63683219460cb1f7,This seemed completely random.,yes
6calxtqu,5a285307df86d80001455de5,It was very frustrating that I was not able to make any progress actually earning gold coins since it seemed like the odds of most options were heavily not in my favor for most of the experiment.,yes
71k7nc1p,6a43a4cef24defd2e4abf736,it was okay,yes
732onamo,6a256fe345117de0d13cbf57,"i found the excercise frustrating. i found that i keep getting distracted and bored, this was lessened when the videos were playing.",yes
8wz0rk6k,69f47d32f5266919ffefbcde,It was interesting trying to figure out the patterns in the cards and not be distracted by the video,yes
a7rfe80h,69d68fef496b299d4cd8e08d,It is a straight forward game just that one can never predict which card has coins,no
e8uwbxpp,69418ebfb04bf4817751cb44,Not anything. Was easy to understand but not particularly interesting.,yes
f73krk5l,5ce1f31a27efac0018821eed,"it was frustrating, it did not make sense",yes
fd06baku,69f914fa7e3892745f6d89ce,The study was smooth and I enjoyed. The instructions were clear enough.,yes
fhqdmk44,6a6730cf32a380fc43a91851,it was't confusing frustrating. It was easy to do.,yes
g2gyjpk1,69ffa80077ddde4fae81232d,"I found this really confusing to figure out which cards were the good ones and when I finally thought I figured it out, they changed so I was back at square one.",yes
gm6ma35b,62f3b543dce069211e8e982c,"It was all frustrating - just when I thought I had identified a ""strong"" card, it then went on to lose agains the other cards. I don't know if I performed any better than someone who just chose randomly.",yes
h6s8lge5,663b638be7226d4e3fcc255f,The instructions were easy to read and understand.,yes
hrv7syno,6a1629cc5dcd6ea2c000c9af,All good.,yes
kbstzfrq,677c00e0f6d8cdcff534ecb7,I thought it was a little bit frustrating when you thought that you figured out a pattern only to be met with a 'X' meaning you lost that coin.,yes
lb5aodfd,6a1afb8846eb6abd7232f9b7,It was fine. I was hoping to do better. I guess my 50/50 luck just isn't great.,yes
lbtsx55q,6a039c17b67cd6ddabb9bd5c,"Round one felt like there was a pattern. Round two I felt like there wasn't too much of one. Round three I'm not sure. And round four also felt like there was a pattern.

In the first round I felt rather calm, but in the later rounds I started to feel a little frustrated.",yes
lggnyu1g,6926c95802f66337764785d9,The instructions and the study were clearly worded. Also the task is fun and thoughtful,yes
nknatdsa,6a0b21b822bfd4c9686d1752,There often appeared to be a switchover when the same combo were offered one after the other,no
nu3k73aj,6a05e989597c3d8c7348b3ed,"It was okay, it was not really exciting and not much happened.",yes
o7upofv9,6a16aef4b4417bcc99faa34e,It was interesting that all of the videos were of cute animals. And that the videos only played in odd rounds (rounds 1 and 3).,no
r017b2qn,6a1ca28f39a714391ec26ae5,I think it seemed like the 2nd and 4th round might be rigged to do poorly. Rounds 1 and 2 seemed way more successful for no discernible reason,yes
s0hrqt8r,5d68c8aa40524c00189e8ac2,"I feel like I chose as best options as possible, but still ended on 0 gold coins.",yes
taatkar0,60721c2da01b3a616edba9a7,It was interesting but confusing at the same time,yes
tlosn0n5,69f7e812b1abc5db9b1d0eac,Frustrating with no sequence that could be established,yes
uzjjdjf0,6a04e2a3538404f177aaf602,The video of the German Shepherd puppy going after the red ball on the lawn was an AI-generated video; I stopped watching the videos after that.,yes
wdoh5wcf,66cc6eb364154a51d4d44eb1,it felt like i was destined to lose,yes
wsudlpa9,6a2326ce6854d87c39560626,"The dog/cat videos were a nice addition. I tried to keep track as best I could with what cards were ""doing well"" but the changing probabilities made it challenging and required constant probing of the other cards to try and guage if and when shifts were happening. This sometimes felt like wasting chances for the sake of gathering information I needed to try and do well.",yes
xvoz5uh1,6a19fedb153705573a04a9b2,it was fun,no
yerl9g4z,NA,"I found the videos harder to deal with the first time they appeared but found it easier in the later round because I felt more able to ignore them and focus on the card patterns. I didn't find anything confusing. I tried to pay attention to patterns, rather than focusing too much on one card result. The rounds without videos were definitely easier for me, particularly the first round when I was freshest.",yes
zy7vc0bj,69a085f6ba3041132aa43bf9,Was interesting to see how the chances changed each round. The videos were also really cute and definitely helped with the boredom aspect,yes
